CellLabel	Distance[µm]	DAPI	MTCOI	SDHA
Pos1	87.72	63.571	313.286	480.286
Pos1	88.043	62.429	366.429	425.571
Pos1	88.365	61.714	360.429	384.571
Pos1	88.688	61	305.714	364.857
Pos1	89.01	61.714	267.714	390.857
Pos1	89.333	60.857	269.286	443.857
Pos1	89.655	62	298.714	497.286
Pos1	89.978	62.714	359.286	535
Pos1	90.3	60.429	395.286	559.286
Pos1	90.623	63.429	408.857	633
Pos1	90.945	61.857	434	677.857
Pos1	91.268	61.571	471.857	677.143
Pos1	91.59	64	504.714	676.714
Pos1	91.913	62.286	540.286	668.429
Pos1	92.235	62.857	548.286	634.143
Pos1	92.558	63.286	526.286	593.714
Pos1	92.88	64.571	493.429	576.714
Pos1	93.203	65.143	534.714	549.571
Pos1	93.525	64.571	532	453.143
Pos1	93.848	61.286	439	369.857
Pos1	94.17	60.286	332.286	320.714
Pos1	94.493	61	280.714	320.429
Pos1	94.815	60.857	276.429	317
Pos1	95.138	62.286	300.429	334.571
Pos1	95.46	61.571	294.286	347.143
Pos1	95.783	61.857	285.143	397.857
Pos1	96.105	60.143	304.143	450.714
Pos1	96.428	61.857	328.571	471.714
Pos1	96.75	62.571	354.286	500.571
Pos1	97.073	63.286	403.286	512.857
Pos1	97.395	62.429	438.143	513.571
Pos1	97.718	63.714	447.429	491.857
Pos1	98.04	65.286	430.857	468.143
Pos1	98.363	64.143	384.714	458
Pos1	98.685	66.571	349.714	473.429
Pos1	99.008	64.857	370.429	472
Pos1	99.33	64.429	371.143	470.714
Pos1	99.653	66.857	368.571	496.429
Pos1	99.975	65.714	381.143	518.143
Pos1	100.298	67.286	406	508.714
Pos1	100.62	72	416.857	494.857
Pos1	100.943	74.571	419.714	516.286
Pos1	101.265	77.714	434.714	528.143
Pos1	101.588	79.429	464.143	580
Pos1	101.91	85.857	487.714	621.857
Pos1	102.233	91.571	533.143	676.143
Pos1	102.555	99.857	565.571	727
Pos1	102.878	108.714	587.571	850.286
Pos1	103.2	117.143	609.571	956.714
Pos1	103.523	136.571	685.857	1019.571
Pos1	103.845	158.857	704.286	1102.143
Pos1	104.168	185.429	710.571	1234.429
Pos1	104.49	219.429	762.429	1366.714
Pos1	104.813	262.714	816.571	1491
Pos1	105.135	324	926.714	1540
Pos1	105.458	427.286	989.286	1430
Pos1	105.78	625.571	954.286	1152.429
Pos1	106.103	1000.429	735.143	886.571
Pos1	106.425	1682.143	535.429	668.571
Pos1	106.748	2410.286	389.571	537.286
Pos1	107.07	2879.429	317.429	480
Pos1	107.393	3162.143	289.571	489.143
Pos1	107.715	3222.429	319.286	533.857
Pos1	108.038	3147.714	372.286	588.857
Pos1	108.36	2860	409.714	682.571
Pos1	108.683	2698.429	435.286	758
Pos1	109.005	2460.714	478.714	835.571
Pos1	109.328	2274.143	554.714	886
Pos1	109.65	2069.571	591	853.429
Pos1	109.973	1925	567.429	820
Pos1	110.295	1847	521.429	767.857
Pos1	110.618	1884.143	485.429	731.571
Pos1	110.94	1994.143	466.571	717
Pos1	111.263	2035.571	486.714	735.571
Pos1	111.585	1974	479.143	826.857
Pos1	111.908	1851	495.571	851.143
Pos1	112.23	1689.286	458.286	745.857
Pos1	112.553	1605	481	750.571
Pos1	112.875	1533.714	520.571	745.714
Pos1	113.198	1335.857	541.571	650.143
Pos1	113.52	1181.286	516	633.429
Pos1	113.843	1181.286	516	633.429
Pos1	114.165	986	496.143	618.571
Pos1	114.488	662.429	486.143	571.857
Pos1	114.81	508.429	530.286	551.286
Pos1	115.133	370.143	499.571	525.429
Pos1	115.455	255.714	490.571	510.286
Pos1	115.778	148.571	466.143	429.286
Pos1	116.1	114	459.286	412.571
Pos1	116.423	99.714	428.571	405.286
Pos1	116.745	97.286	391.286	393.286
Pos1	117.068	94.286	341	331.714
Pos1	117.39	95.286	334.286	345.714
Pos1	117.713	97.286	347.286	375.571
Pos1	118.035	100.857	354.143	388.714
Pos1	118.358	108	347	411.714
Pos1	118.68	103.143	337.571	385.286
Pos1	119.003	107.857	314.429	407.286
Pos1	119.325	113.286	325.857	446.286
Pos1	119.648	122.571	368.429	508.857
Pos1	119.97	123	391.429	521.286
Pos1	120.293	130.857	411.714	524.143
Pos1	120.615	120	409.143	523
Pos1	120.938	124.714	442.429	562.571
Pos1	121.26	132.429	508.714	583
Pos1	121.583	131.714	521.857	565.429
Pos1	121.905	141.571	475.714	540.857
Pos1	122.228	128.571	422.714	532
Pos1	122.55	135	421	561.143
Pos1	122.873	148.143	457.429	578.714
Pos1	123.195	160.143	520.714	547.857
Pos1	123.518	170	455.571	514
Pos1	123.84	169.857	405.857	541.857
Pos1	124.163	183.143	384.286	576.143
Pos1	124.485	200.143	394.571	593.143
Pos1	124.808	236.286	440.714	581
Pos1	125.13	293	423.714	522.286
Pos1	125.453	394	394.571	499.286
Pos1	125.775	448.571	400.429	512.429
Pos1	126.098	725.714	390.571	474.857
Pos1	126.42	1036.571	358.857	447.429
Pos1	126.743	1267.714	349.429	433.857
Pos1	127.065	1443.429	342.571	405.286
Pos1	127.388	1393.571	299.571	412.857
Pos1	127.71	1501.429	279	454.286
Pos1	128.033	1465	312.857	537.571
Pos1	128.355	1560.714	320.571	550.714
Pos1	128.678	1398.429	324	553.429
Pos1	129	1546.143	331.714	566.571
Pos1	129.322	1466.286	353.286	539.714
Pos1	129.645	1661.857	328.429	547.714
Pos1	129.968	1537.571	299.857	541.571
Pos1	130.29	1698.714	301.857	514.143
Pos1	130.613	1507.571	385.429	567.714
Pos1	130.935	1668.143	410.429	621.429
Pos1	131.258	1212.143	485.714	657.286
Pos1	131.58	1247.857	463	550.429
Pos1	131.903	949	385	458.143
Pos1	132.225	1035.714	319.286	418.571
Pos1	132.548	750.143	305	414
Pos1	132.87	806.429	287.571	419.429
Pos1	133.193	891.286	269.429	413.714
Pos1	133.515	661	341.857	509.857
Pos1	133.838	696.286	380.429	527.429
Pos1	134.16	497.143	481.714	618.714
Pos1	134.483	540	497.286	611.143
Pos1	134.805	595.286	460.429	577.143
Pos1	135.128	415.143	471.571	610.286
Pos1	135.45	437.286	462.857	600.286
Pos1	135.773	498	479.143	551.857
Pos1	136.095	340.286	471.714	547.857
Pos1	136.418	332.571	418.429	506
Pos1	136.74	314.143	364	485.429
Pos1	137.063	218.286	376	529.857
Pos1	137.385	159.286	441	580.714
Pos1	137.708	159.286	429.286	591.571
Pos1	138.03	125.857	478.286	617.143
Pos1	138.353	102.429	482.143	565
Pos1	138.675	101.143	507.429	569
Pos1	138.998	84.571	447	531.429
Pos1	139.32	80	409.429	492.143
Pos1	139.643	76.429	368	474.286
Pos1	139.965	72.857	327.714	409.857
Pos1	140.288	73.143	301.714	377.429
Pos1	140.61	72.714	326.571	410.857
Pos1	140.933	70.286	355.143	407.429
Pos1	141.255	67.857	421.714	434.571
Pos1	141.578	69.571	328.429	342.571
Pos1	141.9	67	306.714	332.143
Pos1	142.223	67	306.714	332.143
Pos1	142.545	63.429	290.143	308
Pos1	142.868	65.286	262.286	300.571
Pos1	143.19	65.571	262.286	305.714
Pos1	143.513	64.286	226.143	288.143
Pos1	143.835	65.429	213.429	281
Pos1	144.158	64	258	298.429
Pos1	144.48	66.286	318.571	342.857
Pos1	144.803	65.571	385.857	407
Pos1	145.125	66.429	332.143	368.429
Pos1	145.448	69.286	263.571	355.429
Pos1	145.77	67.143	235.429	370.286
Pos1	146.093	66.143	231	360
Pos1	146.415	73	253.143	370.571
Pos1	146.738	73	259.714	366.857
Pos1	147.06	72.857	245.429	354.714
Pos1	147.383	74	250.429	353.857
Pos1	147.705	77.429	295.286	380.571
Pos1	148.028	78.143	326.143	408.857
Pos1	148.35	79.714	277.571	384
Pos1	148.673	82.429	256.714	389.714
Pos1	148.995	85.857	252.286	394.714
Pos1	149.318	88	265.571	378.429
Pos1	149.64	91.714	254.143	360.857
Pos1	149.963	98	220.286	320.714
Pos1	150.285	98	220.286	320.714
Pos1	150.608	100	193.286	303.286
Pos1	150.93	100.857	187	296.286
Pos1	151.253	95	200.429	309.143
Pos1	151.575	104.571	232.429	357
Pos1	151.898	107.857	242.286	348.571
Pos1	152.22	111.429	245.714	317
Pos1	152.543	111.429	245.714	317
Pos1	152.865	127.571	200.286	291.429
Pos1	153.188	120.143	185.857	267.143
Pos1	153.51	134.286	162.571	254.286
Pos1	153.833	126.143	172.857	247.429
Pos1	154.155	122.429	185.286	242.143
Pos1	154.478	138.429	189	254.143
Pos1	154.8	135.571	211.714	290.143
Pos1	155.123	130.143	259.714	345.286
Pos1	155.445	140.286	305	407.571
Pos1	155.768	140.857	292.857	415.571
Pos1	156.09	137.143	298.571	442.429
Pos1	156.413	137.429	302	402.143
Pos1	156.735	141.857	284.286	396.857
Pos1	157.058	143.286	260	352.286
Pos1	157.38	140	234	320.286
Pos1	157.703	148.714	221.143	286.286
Pos1	158.025	147.857	210.143	275.143
Pos1	158.348	156.429	203.714	270.429
Pos1	158.67	159.286	208	273.429
Pos1	158.993	163.857	223	287.143
Pos1	159.315	176.571	238.429	303
Pos1	159.638	180.857	268.857	338.571
Pos1	159.96	204.857	302.571	373
Pos1	160.283	222	317.429	400.429
Pos1	160.605	253.857	320	437.429
Pos1	160.928	288	304.714	439.429
Pos1	161.25	316.571	300.143	439.286
Pos1	161.573	292.857	336.429	459.714
Pos1	161.895	302.286	337.714	465.429
Pos1	162.218	302.571	330.857	447.286
