	Line scan				Control region		
Foci no	Distance	DAPI	MTCOI	SDHA	DAPI	MTCOI	SDHA
1	98.781	3332.8	211.4	909.8	65.915	544.159	125.726
1	99.104	3232	194.8	1035.8	65.915	544.159	125.726
1	99.427	3232	194.8	1035.8	65.915	544.159	125.726
1	99.75	3086.8	189.8	741	65.915	544.159	125.726
1	100.072	2674.2	218.8	673.4	65.915	544.159	125.726
1	100.395	2289.4	223.2	766.2	65.915	544.159	125.726
1	100.718	2211	215.6	862.2	65.915	544.159	125.726
1	101.041	2212	188.6	806.8	65.915	544.159	125.726
1	101.364	2290.6	183	728.2	65.915	544.159	125.726
1	101.686	1995.8	195	691	65.915	544.159	125.726
1	102.009	1995.8	195	691	65.915	544.159	125.726
1	102.332	1973.2	200.8	699.4	65.915	544.159	125.726
1	102.655	2069.8	185.4	722.6	65.915	544.159	125.726
1	102.978	2021.4	194.2	573.8	65.915	544.159	125.726
1	103.301	1604	193.4	546.2	65.915	544.159	125.726
1	103.623	1298	226.2	513.6	65.915	544.159	125.726
1	103.946	1040.2	247.4	519	65.915	544.159	125.726
1	104.269	570.8	231	636.8	65.915	544.159	125.726
1	104.592	402.6	255.8	849.4	65.915	544.159	125.726
1	104.915	294.6	327	1047.6	65.915	544.159	125.726
1	105.237	232.2	445.2	1206.8	65.915	544.159	125.726
1	105.56	192.2	553.6	1339.6	65.915	544.159	125.726
1	105.883	157.6	467.2	1140.8	65.915	544.159	125.726
1	106.206	124.2	492.6	934.4	65.915	544.159	125.726
1	106.529	110.8	507.8	816.6	65.915	544.159	125.726
1	106.851	98	551	794.6	65.915	544.159	125.726
1	107.174	90.8	554.4	795.4	65.915	544.159	125.726
1	107.497	84	513.2	724.6	65.915	544.159	125.726
1	107.82	80	474.4	655.8	65.915	544.159	125.726
1	108.143	78.6	502.8	677.2	65.915	544.159	125.726
1	108.466	78.4	574.2	700	65.915	544.159	125.726
1	108.788	78.2	581.8	685.4	65.915	544.159	125.726
1	109.111	78	524.4	644	65.915	544.159	125.726
1	109.434	75.6	455.2	568	65.915	544.159	125.726
1	109.757	75.4	392	586.2	65.915	544.159	125.726
1	110.08	77.4	390	570	65.915	544.159	125.726
1	110.402	78.2	462.4	549.2	65.915	544.159	125.726
1	110.725	80.2	552.8	560.8	65.915	544.159	125.726
1	111.048	80.8	569.8	535.6	65.915	544.159	125.726
1	111.371	84.4	472	429.4	65.915	544.159	125.726
1	111.694	82.2	445.4	394	65.915	544.159	125.726
1	112.016	77.4	432.6	367.8	65.915	544.159	125.726
1	112.339	83.6	404.4	408.2	65.915	544.159	125.726
1	112.662	80	412	408.4	65.915	544.159	125.726
1	112.985	93	415.8	363	65.915	544.159	125.726
1	113.308	85.4	422.8	368.4	65.915	544.159	125.726
1	113.631	85.4	422.8	368.4	65.915	544.159	125.726
1	113.953	93	354.2	340	65.915	544.159	125.726
1	114.276	87.4	360.8	378.8	65.915	544.159	125.726
1	114.599	90.8	458.8	463.8	65.915	544.159	125.726
1	114.922	88.4	534.4	555.2	65.915	544.159	125.726
1	115.245	96.4	568.8	647.2	65.915	544.159	125.726
1	115.567	84.4	564.2	719	65.915	544.159	125.726
1	115.89	93.8	753.2	895	65.915	544.159	125.726
1	116.213	83.8	885.2	1002.6	65.915	544.159	125.726
1	116.536	86.8	1037	992.2	65.915	544.159	125.726
1	116.859	90.8	841.6	809.8	65.915	544.159	125.726
1	117.182	79.2	732.6	691.4	65.915	544.159	125.726
1	117.504	81.6	497.2	523.6	65.915	544.159	125.726
1	117.827	74	486.4	514.8	65.915	544.159	125.726
1	118.15	77.2	501	566	65.915	544.159	125.726
1	118.473	76.4	612.2	636.8	65.915	544.159	125.726
1	118.796	75.2	677.8	625.6	65.915	544.159	125.726
1	119.118	72.2	660	630	65.915	544.159	125.726
1	119.441	71.6	541	692.6	65.915	544.159	125.726
1	119.764	71.6	541	692.6	65.915	544.159	125.726
1	120.087	66.8	564.8	729.6	65.915	544.159	125.726
1	120.41	70.8	590.2	771.6	65.915	544.159	125.726
1	120.732	69.2	593.2	790.2	65.915	544.159	125.726
1	121.055	69	688.4	800.8	65.915	544.159	125.726
1	121.378	68.6	712.4	784.2	65.915	544.159	125.726
1	121.701	69	760	694	65.915	544.159	125.726
1	122.024	69.2	778	704.6	65.915	544.159	125.726
1	122.347	69.6	750.2	655.4	65.915	544.159	125.726
1	122.669	66.6	515.6	527.4	65.915	544.159	125.726
1	122.992	66.6	515.6	527.4	65.915	544.159	125.726
1	123.315	66.2	387.8	511.8	65.915	544.159	125.726
1	123.638	65.6	351.8	426.6	65.915	544.159	125.726
1	123.961	64	359.8	416.2	65.915	544.159	125.726
1	124.283	65.2	370	480.2	65.915	544.159	125.726
1	124.606	64.4	392.2	525.2	65.915	544.159	125.726
1	124.929	65.6	454.2	543.6	65.915	544.159	125.726
1	125.252	63.8	507	561.8	65.915	544.159	125.726
1	125.575	64.8	522.4	561.8	65.915	544.159	125.726
1	125.897	64.4	468.8	505.6	65.915	544.159	125.726
1	126.22	68.2	324.2	415.4	65.915	544.159	125.726
1	126.543	62.8	301	372.6	65.915	544.159	125.726
1	126.866	68.2	311	330.4	65.915	544.159	125.726
1	127.189	64.2	344	335.8	65.915	544.159	125.726
1	127.512	62.8	428	400	65.915	544.159	125.726
1	127.834	64.4	461.8	447.6	65.915	544.159	125.726
1	128.157	67.8	494	501	65.915	544.159	125.726
1	128.48	63.8	587.8	565.8	65.915	544.159	125.726
1	128.803	63.2	712.2	704.4	65.915	544.159	125.726
1	129.126	68	700.8	756.2	65.915	544.159	125.726
1	129.448	66.6	560.2	599.4	65.915	544.159	125.726
1	129.771	63.4	495.2	530.8	65.915	544.159	125.726
1	130.094	63	426.8	469.2	65.915	544.159	125.726
1	130.417	64	407.8	453.4	65.915	544.159	125.726
1	130.74	65.8	419.2	431.6	65.915	544.159	125.726
1	131.063	62.6	434.2	429	65.915	544.159	125.726
1	131.385	65	423.4	433.2	65.915	544.159	125.726
1	131.708	66.2	411.2	450.8	65.915	544.159	125.726
1	132.031	63.6	394.6	424.2	65.915	544.159	125.726
1	132.354	63	401.6	399.4	65.915	544.159	125.726
1	132.677	63.2	430	389.2	65.915	544.159	125.726
1	132.999	64	451	406.8	65.915	544.159	125.726
1	133.322	64.2	429	365.4	65.915	544.159	125.726
1	133.645	66.2	450.8	379.6	65.915	544.159	125.726
1	133.968	65.6	378	395	65.915	544.159	125.726
1	134.291	63.4	322	392.6	65.915	544.159	125.726
1	134.613	63.4	289	364.4	65.915	544.159	125.726
1	134.936	62.6	282.2	323.4	65.915	544.159	125.726
1	135.259	63	283.2	292.2	65.915	544.159	125.726
1	135.582	61.6	273.4	273.6	65.915	544.159	125.726
1	135.905	63.4	258.2	265.4	65.915	544.159	125.726
1	136.228	63.4	255.4	280	65.915	544.159	125.726
1	136.55	66.8	260.4	310.2	65.915	544.159	125.726
1	136.873	66.8	279.4	352.8	65.915	544.159	125.726
1	137.196	66.2	308.4	392	65.915	544.159	125.726
1	137.519	63.6	413.8	403.6	65.915	544.159	125.726
1	137.842	64	446.2	426.6	65.915	544.159	125.726
1	138.164	65.2	482.2	423.6	65.915	544.159	125.726
1	138.487	67	477	446.2	65.915	544.159	125.726
1	138.81	67.6	436.8	454.4	65.915	544.159	125.726
1	139.133	65.4	418.8	450.2	65.915	544.159	125.726
1	139.456	66.4	431	489.4	65.915	544.159	125.726
1	139.778	68.2	441.6	544.8	65.915	544.159	125.726
1	140.101	67	459.8	628.6	65.915	544.159	125.726
1	140.424	64	549.8	718.6	65.915	544.159	125.726
1	140.747	65.4	733.2	906	65.915	544.159	125.726
1	141.07	65.6	895	1147.4	65.915	544.159	125.726
1	141.393	65	1004.4	1409.6	65.915	544.159	125.726
1	141.715	66.8	902.4	1491.8	65.915	544.159	125.726
1	142.038	65.8	796	1460.2	65.915	544.159	125.726
1	142.361	64.6	613.2	1258	65.915	544.159	125.726
1	142.684	66.2	520.2	1009	65.915	544.159	125.726
1	143.007	64	484.6	857	65.915	544.159	125.726
1	143.329	63.8	473.4	778	65.915	544.159	125.726
1	143.652	66	538.2	846.2	65.915	544.159	125.726
1	143.975	67.6	624	951.2	65.915	544.159	125.726
1	144.298	66.6	662.2	1016.6	65.915	544.159	125.726
1	144.621	68	688.8	988.2	65.915	544.159	125.726
1	144.944	67.2	703.4	916.8	65.915	544.159	125.726
1	145.266	66.6	666.8	908	65.915	544.159	125.726
1	145.589	66.6	666.8	908	65.915	544.159	125.726
1	145.912	65.8	682	933.2	65.915	544.159	125.726
1	146.235	68	692.4	1051.8	65.915	544.159	125.726
1	146.558	69	736.2	1164.4	65.915	544.159	125.726
1	146.88	68.4	625.2	1087.4	65.915	544.159	125.726
1	147.203	69.6	581.8	968.8	65.915	544.159	125.726
1	147.526	69.4	565	915	65.915	544.159	125.726
1	147.849	66.4	591.4	808.2	65.915	544.159	125.726
1	148.172	67.8	503.6	749.6	65.915	544.159	125.726
1	148.494	70.6	525	642.6	65.915	544.159	125.726
1	148.817	70.6	525	642.6	65.915	544.159	125.726
1	149.14	68	583.6	626	65.915	544.159	125.726
1	149.463	67.2	558.2	691	65.915	544.159	125.726
1	149.786	68.2	502.8	704.4	65.915	544.159	125.726
1	150.109	67	432.8	694.4	65.915	544.159	125.726
1	150.431	65.2	424.4	619.4	65.915	544.159	125.726
1	150.754	64.4	437.4	500.6	65.915	544.159	125.726
1	151.077	62.6	470.8	538.6	65.915	544.159	125.726
1	151.4	67.4	456	570.8	65.915	544.159	125.726
1	151.723	68.2	436.6	571.8	65.915	544.159	125.726
1	152.045	67	407.6	542	65.915	544.159	125.726
1	152.368	65	438.2	576.2	65.915	544.159	125.726
1	152.691	63.8	455.6	525.8	65.915	544.159	125.726
1	153.014	62.6	552.4	642.8	65.915	544.159	125.726
1	153.337	61.4	525.6	689.8	65.915	544.159	125.726
